Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,17,21.88235294117647,0.0,0.0,0.3712984054669704,0.0,0.6287015945330297,0.47058823529411764,0.0,0.0,19.933333333333334,0.35294117647058826
m,2,17,26.88235294117647,0.0,0.0,0.038181818181818185,0.0,0.9618181818181818,0.35294117647058826,0.0,0.0,28.176470588235293,0.35294117647058826
m,3,17,47.46666666666667,0.0,0.0,0.24271844660194175,0.0,0.7572815533980582,0.6470588235294118,0.11764705882352941,0.0,42.733333333333334,0.5882352941176471
m,4,17,23.41176470588235,0.0,0.0,0.05908096280087528,0.0,0.9409190371991247,0.17647058823529413,0.0,0.0,25.823529411764707,0.29411764705882354
m,5,18,19.470588235294116,0.0,0.0,0.019230769230769232,0.0,0.9807692307692307,0.2777777777777778,0.05555555555555555,0.0,23.176470588235293,0.5
m,6,32,6.96875,0.0,0.0,0.23104693140794225,0.0,0.7689530685920578,0.15625,0.0,0.0,5.375,0.25
m,7,39,28.71794871794872,0.17145421903052063,0.0,0.02064631956912029,0.0,0.8078994614003591,0.41025641025641024,0.0,0.02564102564102564,13.88888888888889,0.28205128205128205
m,8,40,27.102564102564102,0.0,0.0,0.04985618408437201,0.0,0.950143815915628,0.475,0.025,0.0,30.076923076923077,0.475
m,9,37,6.972972972972973,0.008602150537634409,0.0,0.5397849462365591,0.0,0.45161290322580644,0.10810810810810811,0.0,0.0,1.837837837837838,0.10810810810810811
m,10,33,15.10344827586207,0.0,0.0,0.3627287853577371,0.0,0.6372712146422629,0.18181818181818182,0.12121212121212122,0.0,9.142857142857142,0.2727272727272727
m,11,16,10.6875,0.0,0.0,0.24489795918367346,0.0,0.7551020408163265,0.3125,0.0,0.0,9.625,0.375
m,12,17,21.1875,0.0,0.0,0.14933333333333335,0.0,0.8506666666666667,0.23529411764705882,0.058823529411764705,0.0,23.4,0.17647058823529413
d,1,51,24.66,0.0,0.0,0.0749063670411985,0.0,0.9250936329588015,0.39215686274509803,0.0196078431372549,0.0,26.176470588235293,0.43137254901960786
d,2,20,35.4,0.0,0.0,0.4559789750328515,0.0,0.5440210249671484,0.35,0.0,0.0,22.55,0.5
d,3,38,5.657894736842105,0.0,0.0,0.23509933774834438,0.0,0.7649006622516556,0.21052631578947367,0.0,0.0,6.2105263157894735,0.21052631578947367
d,4,51,15.938775510204081,0.05647517039922103,0.0,0.2385589094449854,0.0,0.7049659201557936,0.29411764705882354,0.0392156862745098,0.0,11.319148936170214,0.21568627450980393
d,5,51,34.895833333333336,0.036260623229461754,0.0,0.12181303116147309,0.0,0.8419263456090652,0.39215686274509803,0.058823529411764705,0.0,30.304347826086957,0.35294117647058826
d,6,22,10.476190476190476,0.0,0.0,0.06389776357827476,0.0,0.9361022364217252,0.18181818181818182,0.045454545454545456,0.0,9.476190476190476,0.2727272727272727
d,7,67,16.06153846153846,0.0666058394160584,0.0,0.10766423357664233,0.0,0.8257299270072993,0.26865671641791045,0.029850746268656716,0.014925373134328358,12.770491803278688,0.31343283582089554
h,1300-1359,90,21.558139534883722,0.0,0.0,0.17053140096618358,0.0,0.8294685990338164,0.3333333333333333,0.044444444444444446,0.011111111111111112,16.197802197802197,0.31088082901554404
h,1400-1459,194,19.11111111111111,0.047888015717092336,0.0,0.1807465618860511,0.0,0.7713654223968566,0.30412371134020616,0.02577319587628866,0.0,19.392156862745097,0.3364485981308411
h,1500-1559,16,25.625,0.0,0.0,0.05908096280087528,0.0,0.9409190371991247,0.1875,0.0,0.0,,
